datetime,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Cloud_Cover_decimalFraction,Air_Temperature_celsius,Relative_Humidity_percent,Surface_Level_Barometric_Pressure_pascal,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Precipitation_meterPerSecond
2002-03-02 0:00,102.7370833,0.8125,-0.85,85,99036.25,3.5,8.25E-09
2002-03-03 0:00,72.77104167,0.3125,-1.95,58.5,99420,4,8.25E-09
2002-03-04 0:00,78.48008333,0.46875,-3.05,57,99160,1.75,8.25E-09
2002-03-05 0:00,80.29166667,0.53125,1.275,64.5,97635,1.75,8.25E-09
2002-03-06 0:00,102.8345833,0.96875,3.325,42.25,98948.75,4.5,8.25E-09
2002-03-07 0:00,28.57833333,0.5,1.05,74.5,99293.75,4.25,8.25E-09
2002-03-08 0:00,134.2616667,0.5,0.575,70.5,100001.25,3.25,8.25E-09
2002-03-09 0:00,59.56083333,0.78125,2.325,57.5,100187.5,3.5,8.25E-09
2002-03-10 0:00,112.5741667,0.53125,4.85,51,101150,6.25,8.25E-09
2002-03-11 0:00,117.3675,0.78125,2.9,46,101807.5,3,8.25E-09
2002-03-12 0:00,116.0059583,0.6875,3.15,55.25,100698.75,3.5,8.25E-09
2002-03-13 0:00,74.93125,0.46875,4.325,86,100528.75,3.5,8.25E-09
2002-03-14 0:00,127.2116667,0.3125,2.1,89.75,100242.5,4.25,8.25E-09
2002-03-15 0:00,136.5395833,0.6875,-1.575,90.5,100876.25,2,8.25E-09
2002-03-16 0:00,136.4629167,1,-0.3,60.5,101127.5,1.75,8.25E-09
2002-03-17 0:00,45.4475,1,0.2,53.75,101037.5,3.25,8.25E-09
2002-03-18 0:00,73.29041667,1,0.3,52.25,100891.25,1,8.25E-09
2002-03-19 0:00,22.98541667,0.84375,2.375,52.5,100602.5,2.25,8.25E-09
2002-03-20 0:00,23.34,0.53125,4.4,53.5,101628.75,2.5,8.25E-09
2002-03-21 0:00,114.28,0.46875,3.025,73,101870,5.5,8.25E-09
2002-03-22 0:00,102.95475,0.375,2.325,73.5,102457.5,4.25,8.25E-09
2002-03-23 0:00,142.732375,0.375,3.675,83,102498.75,4.25,8.25E-09
2002-03-24 0:00,149.8099167,0.96875,2.65,74,103390,3.5,8.25E-09
2002-03-25 0:00,153.1345833,0.5625,1.11E-16,71.25,102398.75,2.25,8.25E-09
2002-03-26 0:00,64.12504167,1,1.5,83.5,101901.25,2.25,8.25E-09
2002-03-27 0:00,133.6375,0.71875,5.075,85,100927.5,2,8.25E-09
2002-03-28 0:00,93.52333333,0.1875,3.275,82,99745,3.75,8.25E-09
2002-03-29 0:00,148.5421667,0.78125,5.825,86.75,100953.75,2,8.25E-09
2002-03-30 0:00,179.11625,1,4.625,84.25,101087.5,2,8.25E-09
2002-03-31 0:00,128.4008333,0.96875,2.3,73,100951.25,1.75,8.25E-09
2002-04-01 0:00,95.96083333,1,2.575,66.75,99831.25,1.25,8.25E-09
2002-04-02 0:00,83.6755,0.96875,4.2,61.5,100791.25,1.775,1.54E-08
2002-04-03 0:00,48.25716667,0.6875,7.075,56,101115,0.9,1.54E-08
2002-04-04 0:00,66.49541667,0.84375,7.875,67.25,100801.25,1.925,1.54E-08
2002-04-05 0:00,121.1979167,0.46875,7.525,66.75,99660,1.925,1.54E-08
